fixture_id,team,player,position,minutes,rating,goals,assists
1035043,Aston Villa,Omari Kellyman,M,,,,
1035044,Brentford,Mark Flekken,G,90.0,7.2,,
1035044,Brentford,Aaron Hickey,D,72.0,6.6,,
1035044,Brentford,Nathan Collins,D,90.0,6.9,,
1035044,Brentford,Ethan Pinnock,D,90.0,6.9,,
1035044,Brentford,Kristoffer Ajer,D,84.0,6.3,,
1035044,Brentford,Rico Henry,D,90.0,7.5,,1.0
1035044,Brentford,Mathias Jensen,M,49.0,6.7,,
1035044,Brentford,Christian Nørgaard,M,72.0,6.2,,
1035044,Brentford,Vitaly Janelt,M,90.0,6.6,,
1035044,Brentford,Bryan Mbeumo,F,90.0,6.6,1.0,
1035044,Brentford,Yoane Wissa,F,72.0,7.9,1.0,
1035044,Brentford,Mikkel Damsgaard,M,41.0,6.9,,
1035044,Brentford,Mads Roerslev,D,18.0,6.3,,
1035044,Brentford,Shandon Baptiste,M,18.0,6.7,,
1035044,Brentford,Kevin Schade,M,18.0,6.3,,
1035044,Brentford,Zanka,D,11.0,7.5,,
1035044,Brentford,Thomas Strakosha,G,,,,
1035044,Brentford,Joshua Dasilva,M,,,,
1035044,Brentford,Yehor Yarmoliuk,M,,,,
1035044,Brentford,Keane Lewis-Potter,F,,,,
1035044,Tottenham,Guglielmo Vicario,G,90.0,7.2,,
1035044,Tottenham,Emerson Royal,D,90.0,7.7,1.0,
1035044,Tottenham,Cristian Romero,D,14.0,7.3,1.0,
1035044,Tottenham,Micky van de Ven,D,90.0,7.2,,
1035044,Tottenham,Destiny Udogie,D,90.0,7.3,,
1035044,Tottenham,Oliver Skipp,M,75.0,6.3,,
1035044,Tottenham,Yves Bissouma,M,90.0,8,,
1035044,Tottenham,Dejan Kulusevski,M,90.0,7.2,,
1035044,Tottenham,James Maddison,M,90.0,8.3,,2.0
1035044,Tottenham,Heung-min Son,M,75.0,6.6,,
1035044,Tottenham,Richarlison,F,90.0,6.7,,
1035044,Tottenham,Davinson Sánchez,D,76.0,7,,
1035044,Tottenham,Ivan Perišić,M,15.0,7.2,,
1035044,Tottenham,Pape Matar Sarr,M,15.0,7.2,,
1035044,Tottenham,Brandon Austin,G,,,,
1035044,Tottenham,Ben Davies,D,,,,
1035044,Tottenham,Pedro Porro,D,,,,
1035044,Tottenham,Pierre-Emile Højbjerg,M,,,,
1035044,Tottenham,Giovani Lo Celso,M,,,,
1035044,Tottenham,Manor Solomon,F,,,,
1035045,Chelsea,Robert Sánchez,G,90.0,6.9,,
1035045,Chelsea,Axel Disasi,D,90.0,7.7,1.0,
1035045,Chelsea,Thiago Silva,D,90.0,7.3,,
1035045,Chelsea,Levi Colwill,D,90.0,7.2,,
1035045,Chelsea,Reece James,M,76.0,7.5,,
1035045,Chelsea,Enzo Fernández,M,90.0,8.2,,
1035045,Chelsea,Conor Gallagher,M,90.0,7.2,,
1035045,Chelsea,Ben Chilwell,M,89.0,7.5,,1.0
1035045,Chelsea,Raheem Sterling,F,81.0,6.6,,
1035045,Chelsea,Carney Chukwuemeka,F,81.0,6.3,,
1035045,Chelsea,Nicolas Jackson,F,90.0,6.2,,
1035045,Chelsea,Malo Gusto,D,14.0,6.6,,
1035045,Chelsea,Ian Maatsen,D,9.0,6.9,,
1035045,Chelsea,Mykhaylo Mudryk,M,9.0,6.9,,
1035045,Chelsea,Lesley Ugochukwu,M,1.0,,,
1035045,Chelsea,Lucas Bergström,G,,,,
1035045,Chelsea,Marc Cucurella,D,,,,
1035045,Chelsea,Andrey Santos,M,,,,
1035045,Chelsea,Mason Burstow,F,,,,
1035045,Chelsea,Noni Madueke,F,,,,
1035045,Liverpool,Alisson,G,90.0,7.3,,
1035045,Liverpool,Trent Alexander-Arnold,D,90.0,6.3,,
1035045,Liverpool,Ibrahima Konaté,D,90.0,7,,
1035045,Liverpool,Virgil van Dijk,D,90.0,7.2,,
1035045,Liverpool,Andrew Robertson,D,90.0,7.2,,
1035045,Liverpool,Dominik Szoboszlai,M,90.0,7,,
1035045,Liverpool,Alexis Mac Allister,M,90.0,7.5,,
1035045,Liverpool,Cody Gakpo,M,66.0,6.6,,
1035045,Liverpool,Mohamed Salah,F,77.0,7.5,,1.0
1035045,Liverpool,Diogo Jota,F,66.0,6.9,,
1035045,Liverpool,Luis Díaz,F,77.0,7.2,1.0,
1035045,Liverpool,Curtis Jones,M,24.0,6.6,,
1035045,Liverpool,Darwin Núñez,F,24.0,6.7,,
1035045,Liverpool,Harvey Elliott,M,13.0,7,,
1035045,Liverpool,Ben Doak,F,13.0,6.3,,
1035045,Liverpool,Caoimhin Kelleher,G,,,,
1035045,Liverpool,Joe Gomez,D,,,,
1035045,Liverpool,Konstantinos Tsimikas,D,,,,
1035045,Liverpool,Joël Matip,D,,,,
1035045,Liverpool,James McConnell,M,,,,
